Company,Total GHG,Matched
Spectra energy corp,142724.5,Spectra energy corp
Chrin brothers inc.,77979.0,None
"O'brien industrial holdings, llc",28024.0,None
"Chs, inc.",890627.0,None
Chs inc.,147819.0,None
National cooperative refining ass,897904.0,None
Gtl resources usa inc,141730.69999999998,None
"Chugach electric association, inc.",1326254.0,None
Csu trustees and csuci site authority,106110.0,None
El paso corporation,2292359.0,None
"Sanofi aventis, inc.",36553.0,None
Pdv holding inc,1573571.0,None
Pdv holding inc.,6353672.0,None
Citrus county board of county commission,309993.0,None
"Citrus world, inc.",76737.0,None
City and county of honolulu,128409.0,None
City of albemarle landfill,36605.0,None
City of amarillo,132218.0,None
City of baton rouge,140603.0,None
City of beaumont,243220.0,None
"City of bozeman, montana",14779.0,None
"City of chattanooga, tennessee",199895.0,None
City of conway,106196.0,None
City of corsicana,87340.0,None
City of denton,35053.0,None
City of durham,12379.0,None
City of edinburg,113955.0,None
City of elko,23509.0,None
The city of fargo,114723.0,None
City of flagstaff,85633.0,None
City of fort worth,206698.0,None
"City of fresno, department of public utilities",13958.0,None
City of glendale,49616.0,None
City of grand prairie,111975.0,None
"City of greensboro, north carolina",334279.0,None
City of harrisonburg resource recovery facility,15473.0,None
"City of lagrange, georgia",37857.0,None
City of logan,48169.0,None
City of lompoc,34829.0,None
City of midland,202771.0,None
City of mountain view,68348.0,None
Muscatine county solid waste agency,49601.0,None
City of phoenix,185350.0,None
City of santa cruz,8926.0,None
City of snyder,22820.0,None
City of sunnyvale,2434.0,None
City of tifton,47345.0,None
City of ukiah,26214.0,None
City of watsonville,9595.0,None
Les,32095.0,Arc wireless solutions
"Clarion industries, inc",12918.0,None
Clark county board of commissioners,49422.0,None
Floyd county board of commissioners,49422.0,None
Clear air force station - us air force,89993.0,None
Celanese corporation,831421.0,None
Clearwater paper corporation,431185.0,Clearwater paper corp
Clemson university,28187.0,None
Local county government,120847.0,None
"Cleveland thermal, llc",173349.0,None
U.s. sugar corp.,39297.0,None
Clinton county solid waste authority,44362.0,None
Clinton county area solid waste agency,38526.0,None
"Coulter companies, inc.",174505.0,None
"Clover flat landfill, inc.",16743.0,None
City of clovis,40532.0,None
Commercial metals company,393834.0,Commercial metals co
Northwestern energy,15664.0,None
Coffee county commission,67585.0,None
Cvr energy,1234378.0,None
"Town of colonie, ny",32661.0,None
Board of governors of the colorado state university system,46618.0,None
Colstrip energy limited partnership,419390.0,None
San bernardino county - solida waste management division,77596.0,None
Glencore,164.0,None
"Columbia gas transmission, llc",218229.0,None
Columbia gas transmission llc,29408.0,None
"Columbia gulf transmission, llc",666287.0,None
"City of columbia, mo",58348.0,None
Trustees of columbia university,81211.0,None
Columbian chemicals company,118111.0,None
Columbian chemicals,283504.0,None
Columbus consolidated government,128262.0,None
Commonwealth environmental systems,1327.0,None
"Community refuse service, inc.",103404.0,None
Hopkinsville elevator company,55290.0,None
"Commonwealth plywood company, ltd",907.0,None
Conagra foods inc.,205225.0,None
Region 2000 services authority,24217.0,None
John sexton sand & gravel,8135.0,None
Republic services,8135.0,Republic services
"Southcross gathering, ltd",79882.0,None
Exelon corp,2076443.0,None
Continental carbon company,474702.0,None
"Summit materials, llc",559242.13,None
"Midsouth holding, llc",1662.0,None
"Continental tire the americas, llc",59959.0,None
Trc solutions inc.,49050.0,None
Cooper tire and rubber co,26051.0,Cooper tire & rubber co
Cooper tire & rubber company,60994.0,Cooper tire & rubber co
"Corn, lp",173327.0,None
Corn plus ethanol,38057.0,None
Corning incorporated,181562.0,None
Corning inc.,29017.0,None
"Corona energy partners, ltd.",68516.0,None
South central solid waste authority,43785.0,None
Cortland county highway department,38363.0,None
Cowtown gas processing partners l.p.,148592.0,None
Countrymark cooperative llp,199024.0,None
Covanta energy corporation,151038.0,None
Covanta holding corporation,79687.0,Covanta holding corp
Covanta holding corporation,2831974.4,Covanta holding corp
Covanta holding corp,59048.0,Covanta holding corp
Covanta energy,395558.0,None
Covanta holdings,443086.0,None
Covanta holdings corp,62229.0,Covanta holding corp
"Dominion resources, inc.`",173545.0,None
Bayer group,26826.0,None
Cowlitz county,22226.0,None
"County of orange, oc waste & recycling",199544.0,None
J. m. huber corporation,74988.0,None
Craighead co. solid waste disposal authority,77935.0,None
Greater new bedford regional refuse management district,21052.0,None
Crawford county board of commissioners,141632.0,None
Salinas valley solid waste authority,26871.0,None
Inergy propane lp,30070.0,None
"Crittenden county, ar",62139.0,None
Crockett cogeneration a california limited partnership,678045.0,None
Crook county government,22157.0,None
